,title,keyword
176,"백혜련, 국토부장관에 수원 군공항 이전 민군 통합개발 강조",대한공항
177,공항철도·서울9호선 직결사업 긴급 간담회 개최,대한공항
178,부산 찾은 민주당 지도부 '가덕신공항 건설' 실현 약속,대한공항
179,도민여론조사 '현 제주공항 확충 VS 제2공항 건설',대한공항
180,도민여론조사 '현 제주공항 확충 VS 제2공항 건설',대한공항
181,이낙연 “가덕도 신공항 희망고문 끝낼 것”,대한공항
182,영남 찾은 호남 출신 이낙연 “동남권 신공항 희망고문 끝낼 것”,대한공항
183,"김포공항 주차대행 'K주차장', ""주차 케어 시스템 및 주차비 할인 이벤트 구성...",대한공항
184,"""제주 제2공항 의견 수렴, 전 도민 대상 공정한 여론조사 필요""",대한공항
185,"한국공항공사 항공산업연-칸정보기술, 공동 연구개발 협약",대한공항
186,"제주 제2공항 도민의견수렴 방식, '여론조사'로 가닥",대한공항
187,인천공항 배관시설 안전관리 드론 떴다,대한공항
188,제주 제2공항 도민의견수렴 '여론조사'...도-의회 잠정 '합의',대한공항
189,이낙연 '가덕신공항 신속 추진' 시사,대한공항
